18320,32936755,2008.0,None,12/13/2008,12,1.0,0.0,Y,03030,None,01,042,1.0,03,Y,02,4,1,1,1,09,1,01,K,N1,None,None,12/13/2008 3:17:00 AM,NYC PD,1,011,1,Y,4520579.28,592256.0,437946409.0,436834.0,0.0,None,2.0,N,329367552008,-73.9058375734,40.8310507455,The Bronx,203,36,9,16,16,79050,Claremont - Bathgate,42,36005014500,145,Bronx DPHO,79
18605,33103907,2009.0,None,8/14/2009,12,1.0,1.0,Y,03030,None,01,108,1.0,03,Y,02,1,1,1,1,09,1,02,KC,N4,None,None,8/14/2009 6:25:00 PM,NYC PD,1,011,1,Y,4510489.62,593224.74,442499440.0,193258.0,0.00042566,7,2.0,N,331039072009,-73.8958565885,40.7400647091,Queens,402,12,24,26,7,34054,Elmhurst - Maspeth,108,36081048900,489,None,34
18957,33209276,2009.0,None,8/8/2009,12,1.0,1.0,Y,03030,None,99,114,5.0,03,Y,01,1,1,1,1,09,2,13,KC,N4,None,None,8/8/2009 6:10:00 PM,NYC PD,1,011,1,N,4512849.68763,589886.048799,437952551.0,181098.0,47.0,N,2.0,N,332092762009,-73.9350538591,40.7616934797,Queens,401,12,30,26,14,37009,Astoria,114,36081004700,47,None,37
19623,32905811,2008.0,None,11/18/2008,12,1.0,0.0,Y,03030,None,01,041,1.0,03,Y,01,4,2,2,1,09,Z,05,K,N1,None,None,11/18/2008 6:25:00 AM,NYC PD,1,011,1,Y,4518376.08,593335.77,436984471.0,194599.0,0.0,None,2.0,N,329058112008,-73.8933636093,40.8110847338,The Bronx,202,32,8,17,16,84084,Hunts Point,41,36005009300,93,Bronx DPHO,84
20677,33077482,2009.0,None,5/6/2009,12,1.0,0.0,Y,03030,None,01,102,1.0,03,Y,01,1,1,1,1,09,1,ZZ,K,N4,None,None,5/6/2009 2:30:00 PM,NYC PD,1,011,3,Y,4506104.72,598746.39,435430633.0,218819.0,0.00010464,1,2.0,N,330774822009,-73.8311625988,40.6999267259,Queens,409,10,27,29,6,25065,Richmond Hill,102,36081012200,122,None,25
22459,32576137,2008.0,None,1/24/2008,12,1.0,0.0,Y,03030,None,01,083,1.0,03,Y,01,4,2,1,1,09,2,05,K,N2,None,None,1/24/2008 6:26:00 PM,NYC PD,1,011,1,Y,4506480.34988,590402.690098,438159820.0,189502.0,0.0,None,2.0,N,325761372008,-73.9298535265,40.7042677066,Brooklyn,304,17,32,34,12,53065,Bushwick North,83,36047042700,427,Brooklyn DPHO,53
24964,33089711,2009.0,None,5/12/2009,12,1.0,0.0,Y,03030,None,99,109,1.0,03,Y,03,1,1,1,1,09,1,04,K,N4,None,None,5/12/2009 2:00:00 PM,NYC PD,1,005,1,Y,4512202.25,599857.46,437972535.0,440484.0,0.0,5,2.0,N,330897112009,-73.8170415859,40.7547117142,Queens,407,11,25,20,5,22042,East Flushing,109,36081120100,1201,None,22
26071,30595309,2003.0,None,7/30/2003,04,1.0,0.0,Y,03030,None,01,034,1.0,03,Y,01,4,1,1,1,09,2,13,K,N3, 1714, 1715,7/30/2003 12:03:00 AM,NYC PD,1,000,3,None,4524656.8548,590974.215339,437951461.0,208470.0,61.2992,7,22.0,N,305953092003,-73.9204410508,40.8679201041,Manhattan,112,31,6,7,15,71084,Marble Hill - Inwood,34,36061030300,303,None,71
28875,30627201,2003.0,None,8/23/2003,04,1.0,0.0,Y,03030,None,01,062,1.0,03,Y,01,4,1,1,1,09,2,04,K,N2, 7290,11002,8/23/2003 8:48:00 PM,NYC PD,1,000,1,None,4496378.54475,584643.794674,435439000.0,175031.0,31.7226,1,22.0,N,306272012003,-73.9993750382,40.6138885691,Brooklyn,311,22,20,43,13,49038,Bensonhurst West,62,36047026400,264,None,49
28986,30627176,2003.0,None,8/15/2003,04,1.0,1.0,Y,03030,None,01,094,1.0,03,Y,01,4,1,1,1,09,1,04,KC,N2,22459,22536,8/15/2003 8:40:00 PM,NYC PD,1,000,3,None,4508123.17704,588876.236057,435460268.0,191066.0,71.1021,7,22.0,N,306271762003,-73.9476870934,40.7192310019,Brooklyn,301,17,14,33,12,50085,Greenpoint,94,36047049900,499,None,50
29183,30734604,2003.0,None,6/20/2003,04,1.0,0.0,Y,03030,None,01,076,1.0,03,Y,02,1,2,1,1,09,1,03,K,N2,16348,None,6/20/2003 5:00:00 PM,NYC PD,1,000,1,Y,4504233.0,584246.0,437971096.0,169000.0,32.87502548,1,21.0,N,307346042003,-74.0030244708,40.6846775995,Brooklyn,306,25,15,39,12,52072,CarrollGrdns-Columbia-RedHook,76,36047005100,51,None,52
